event_id,timestamp,source_ip,destination_ip,protocol,destination_port,action,bytes_out
F000038,2026-03-22 09:45:24,10.10.0.94,10.10.0.71,UDP,1433,DENY,49930
F000039,2026-05-17 11:00:09,10.10.0.28,10.10.0.134,TCP,53,ALLOW,13382
F000040,2026-04-10 12:25:14,10.10.0.195,10.10.0.94,UDP,8443,ALLOW,16158
F000041,2026-03-03 13:49:00,10.10.0.170,185.10.0.33,UDP,445,DENY,77187
F000042,2026-03-21 21:40:41,10.10.0.91,185.10.0.99,TCP,3306,ALLOW,55747
F000043,2026-03-14 03:00:33,10.10.0.6,185.10.0.51,TCP,8080,ALLOW,14614
F000044,2026-02-14 01:31:08,10.10.0.123,10.10.0.120,UDP,8080,ALLOW,30973
F000045,2026-06-14 10:35:19,10.10.0.200,10.10.0.105,TCP,3389,ALLOW,295417
F000046,2026-04-07 04:58:57,10.10.0.30,10.10.0.94,UDP,53,ALLOW,3066
F000047,2026-03-18 12:49:18,10.10.0.64,10.10.0.29,TCP,8443,ALLOW,1855
F000048,2026-05-06 23:55:12,10.10.0.16,185.10.0.113,TCP,3389,ALLOW,3126
F000049,2026-06-06 11:07:34,10.10.0.7,10.10.0.133,UDP,80,DENY,506514
F000050,2026-02-12 03:04:58,10.10.0.40,10.10.0.124,TCP,53,DENY,10491
F000051,2026-02-04 09:25:56,10.10.0.105,10.10.0.185,UDP,3389,DENY,24780
F000052,2026-02-24 15:12:03,10.10.0.124,10.10.0.137,TCP,445,ALLOW,69477
F000053,2026-03-18 20:36:18,10.10.0.102,185.10.0.53,UDP,443,ALLOW,63948
F000054,2026-01-28 21:49:31,10.10.0.27,185.10.0.6,TCP,22,ALLOW,26745
F000055,2026-02-27 20:14:54,10.10.0.13,10.10.0.87,UDP,1433,ALLOW,189522
F000056,2026-06-06 06:17:45,10.10.0.73,10.10.0.3,TCP,3306,DENY,90705
F000057,2026-05-29 11:52:28,10.10.0.177,185.10.0.101,UDP,443,DENY,17001
F000058,2026-06-26 15:53:36,10.10.0.158,185.10.0.2,UDP,445,ALLOW,11046
F000059,2026-06-06 08:10:15,10.10.0.155,10.10.0.102,TCP,3389,ALLOW,43342
F000060,2026-05-01 13:34:41,10.10.0.183,10.10.0.174,TCP,8080,ALLOW,96427
F000061,2026-06-05 09:42:56,10.10.0.28,10.10.0.168,TCP,445,ALLOW,305742
F000062,2026-05-17 21:20:39,10.10.0.108,10.10.0.70,UDP,8080,ALLOW,52537
F000063,2026-06-14 03:02:35,10.10.0.22,185.10.0.71,TCP,1433,ALLOW,23553
F000064,2026-06-30 13:11:18,10.10.0.106,185.10.0.46,TCP,22,ALLOW,167162
F000065,2026-02-10 11:47:37,10.10.0.112,10.10.0.35,TCP,3306,ALLOW,138009
F000066,2026-03-22 01:50:36,10.10.0.101,185.10.0.26,TCP,443,DENY,89495
F000067,2026-06-03 18:58:54,10.10.0.38,10.10.0.63,UDP,8443,ALLOW,8890
F000068,2026-03-09 17:06:45,10.10.0.152,10.10.0.143,UDP,53,ALLOW,24974
F000069,2026-02-21 12:34:30,10.10.0.126,185.10.0.47,TCP,80,ALLOW,28908
F000070,2026-05-30 03:19:09,10.10.0.73,10.10.0.176,TCP,443,ALLOW,89550
F000071,2026-03-27 21:49:56,10.10.0.189,10.10.0.200,UDP,3306,ALLOW,4184
F000072,2026-04-27 03:50:13,10.10.0.27,185.10.0.24,UDP,80,ALLOW,22834
F000073,2026-03-19 10:27:29,10.10.0.40,10.10.0.141,UDP,443,ALLOW,37102
F000074,2026-05-08 20:53:56,10.10.0.14,185.10.0.7,TCP,443,ALLOW,27748
F000075,2026-01-08 11:57:22,10.10.0.121,185.10.0.103,TCP,1433,ALLOW,260596
F000076,2026-02-10 08:23:32,10.10.0.183,10.10.0.112,TCP,1433,ALLOW,121200
F000077,2026-04-03 00:28:54,10.10.0.130,185.10.0.53,UDP,443,ALLOW,120774
F000078,2026-06-17 17:22:28,10.10.0.109,10.10.0.115,TCP,3306,ALLOW,20976
F000079,2026-01-15 10:02:45,10.10.0.29,185.10.0.59,TCP,8443,ALLOW,44735
F000080,2026-05-25 01:03:19,10.10.0.100,10.10.0.74,UDP,8080,ALLOW,13083
F000081,2026-03-27 00:13:35,10.10.0.58,10.10.0.170,TCP,53,ALLOW,13509
F000082,2026-03-10 14:20:06,10.10.0.177,185.10.0.38,UDP,443,ALLOW,122700
F000083,2026-02-28 06:33:16,10.10.0.201,185.10.0.12,UDP,1433,ALLOW,97694
F000084,2026-06-06 10:15:08,10.10.0.2,10.10.0.20,UDP,3306,ALLOW,12097
F000085,2026-03-29 01:27:32,10.10.0.159,10.10.0.135,TCP,8443,ALLOW,41341
F000086,2026-04-24 16:13:36,10.10.0.61,185.10.0.6,UDP,53,DENY,6219
F000087,2026-06-16 00:56:28,10.10.0.107,10.10.0.80,TCP,3306,ALLOW,68107
F000088,2026-04-16 18:08:08,10.10.0.115,185.10.0.95,UDP,80,ALLOW,11784
F000089,2026-04-15 19:06:17,10.10.0.100,10.10.0.120,UDP,8080,ALLOW,41484
F000090,2026-03-29 22:49:43,10.10.0.111,10.10.0.120,UDP,3306,ALLOW,291811
F000091,2026-03-16 21:24:53,10.10.0.60,10.10.0.192,UDP,80,ALLOW,10261
F000092,2026-02-16 08:20:32,10.10.0.105,10.10.0.7,UDP,22,DENY,55075
F000093,2026-03-12 03:31:36,10.10.0.96,10.10.0.7,TCP,445,DENY,34754
F000094,2026-05-07 10:29:57,10.10.0.145,10.10.0.143,TCP,53,ALLOW,9357
F000095,2026-04-10 02:28:16,10.10.0.61,185.10.0.58,TCP,3306,ALLOW,15660
F000096,2026-01-19 23:25:43,10.10.0.18,185.10.0.37,TCP,3389,DENY,61028
F000097,2026-06-04 03:32:16,10.10.0.141,10.10.0.69,UDP,22,ALLOW,28412
F000098,2026-04-26 23:21:23,10.10.0.5,185.10.0.56,UDP,8443,ALLOW,197930
F000099,2026-01-25 00:07:28,10.10.0.134,10.10.0.91,UDP,3389,ALLOW,64692
F000100,2026-05-18 03:11:40,10.10.0.19,185.10.0.14,UDP,8080,ALLOW,11097
F000101,2026-01-08 19:02:17,10.10.0.45,185.10.0.84,TCP,22,ALLOW,102829
F000102,2026-06-22 20:55:44,10.10.0.145,10.10.0.15,TCP,80,ALLOW,120265
F000103,2026-06-25 21:20:06,10.10.0.47,10.10.0.156,UDP,445,ALLOW,50553
F000104,2026-03-26 02:30:18,10.10.0.23,185.10.0.13,TCP,3389,DENY,71636
F000105,2026-04-02 20:13:00,10.10.0.180,10.10.0.186,UDP,1433,ALLOW,49723
F000106,2026-03-19 06:46:56,10.10.0.106,10.10.0.95,UDP,8080,ALLOW,159692
F000107,2026-04-07 16:14:17,10.10.0.15,10.10.0.154,TCP,443,ALLOW,135187
F000108,2026-02-08 06:40:31,10.10.0.195,185.10.0.94,TCP,80,ALLOW,6200
F000109,2026-05-11 18:57:38,10.10.0.188,185.10.0.69,TCP,445,ALLOW,5557
F000110,2026-05-01 21:39:31,10.10.0.149,10.10.0.62,UDP,80,ALLOW,29010
F000111,2026-06-22 20:09:56,10.10.0.155,10.10.0.41,UDP,8443,DENY,94799
F000112,2026-05-29 18:49:02,10.10.0.67,185.10.0.96,UDP,1433,ALLOW,151804
F000113,2026-03-28 22:50:01,10.10.0.115,10.10.0.153,UDP,80,ALLOW,23992
F000114,2026-02-10 17:12:17,10.10.0.82,185.10.0.92,UDP,1433,ALLOW,28140
F000115,2026-01-11 17:38:03,10.10.0.175,185.10.0.35,UDP,22,ALLOW,25626
F000116,2026-02-28 05:56:28,10.10.0.121,10.10.0.81,TCP,22,ALLOW,33035
F000117,2026-03-26 03:30:48,10.10.0.70,10.10.0.200,TCP,3389,ALLOW,43912
F000118,2026-04-25 00:31:12,10.10.0.107,185.10.0.37,UDP,3306,DENY,21157
F000119,2026-06-25 04:23:35,10.10.0.122,10.10.0.58,TCP,1433,ALLOW,25534
F000120,2026-05-17 05:58:08,10.10.0.111,185.10.0.11,TCP,1433,ALLOW,57541
F000121,2026-04-06 04:06:40,10.10.0.61,10.10.0.60,TCP,22,ALLOW,8274
F000122,2026-06-29 13:11:38,10.10.0.22,185.10.0.31,UDP,3306,ALLOW,336152
F000123,2026-04-02 05:45:03,10.10.0.104,10.10.0.198,TCP,22,ALLOW,479895
F000124,2026-02-04 17:48:18,10.10.0.42,10.10.0.9,TCP,22,DENY,91522
F000125,2026-05-14 18:39:14,10.10.0.181,185.10.0.22,TCP,445,ALLOW,185896
F000126,2026-02-12 04:07:16,10.10.0.132,10.10.0.87,TCP,80,ALLOW,12627
F000127,2026-03-08 17:33:56,10.10.0.83,10.10.0.94,TCP,80,ALLOW,17957
F000128,2026-04-27 23:29:17,10.10.0.81,10.10.0.53,UDP,80,ALLOW,2411
F000129,2026-03-07 06:44:27,10.10.0.169,185.10.0.7,TCP,80,ALLOW,38477
F000130,2026-01-29 17:07:13,10.10.0.191,10.10.0.13,UDP,80,ALLOW,39877
F000131,2026-02-20 01:33:05,10.10.0.167,10.10.0.15,UDP,3306,ALLOW,50703
F000132,2026-01-21 13:34:55,10.10.0.22,10.10.0.98,UDP,3306,ALLOW,5161
F000133,2026-03-06 17:17:14,10.10.0.68,10.10.0.180,UDP,80,ALLOW,34983
F000134,2026-05-15 20:47:37,10.10.0.82,10.10.0.51,UDP,8443,ALLOW,54232
F000135,2026-03-04 00:58:14,10.10.0.108,185.10.0.116,TCP,1433,ALLOW,65316
F000136,2026-03-23 21:47:55,10.10.0.79,185.10.0.110,TCP,3389,DENY,18852
F000137,2026-06-10 21:14:01,10.10.0.155,10.10.0.92,TCP,8080,ALLOW,418422
F000138,2026-04-10 06:31:38,10.10.0.159,185.10.0.48,UDP,3389,ALLOW,27829
F000139,2026-01-30 15:12:28,10.10.0.17,10.10.0.100,UDP,53,ALLOW,43392
F000140,2026-05-15 11:02:16,10.10.0.52,10.10.0.7,TCP,8080,ALLOW,24320
F000141,2026-02-28 03:18:14,10.10.0.62,10.10.0.92,UDP,1433,ALLOW,19168
F000142,2026-04-13 15:12:18,10.10.0.149,185.10.0.120,UDP,445,ALLOW,79991
F000143,2026-01-08 14:10:52,10.10.0.155,185.10.0.100,UDP,22,ALLOW,5398
F000144,2026-04-27 01:26:21,10.10.0.149,185.10.0.82,TCP,53,ALLOW,86373
F000145,2026-02-13 07:23:48,10.10.0.122,10.10.0.38,UDP,22,ALLOW,42181
F000146,2026-02-28 21:29:02,10.10.0.150,10.10.0.32,TCP,8443,DENY,29603
F000147,2026-05-08 13:12:30,10.10.0.28,10.10.0.116,UDP,8080,ALLOW,8839
F000148,2026-03-24 07:31:34,10.10.0.140,185.10.0.116,UDP,22,ALLOW,38206
F000149,2026-05-18 21:51:40,10.10.0.138,185.10.0.72,UDP,8443,ALLOW,78887
F000150,2026-04-15 15:32:23,10.10.0.8,10.10.0.98,TCP,3306,ALLOW,44317
F000151,2026-01-28 14:52:54,10.10.0.166,185.10.0.37,TCP,8443,ALLOW,33704
F000152,2026-03-07 07:28:59,10.10.0.50,185.10.0.79,UDP,8443,ALLOW,27294
F000153,2026-01-15 17:30:07,10.10.0.186,185.10.0.61,UDP,3306,ALLOW,21629
F000154,2026-02-11 05:14:15,10.10.0.188,10.10.0.130,UDP,80,ALLOW,9554
F000155,2026-05-05 13:04:47,10.10.0.15,10.10.0.119,UDP,3306,ALLOW,76968
F000156,2026-05-23 03:10:38,10.10.0.196,185.10.0.54,TCP,443,ALLOW,48092
F000157,2026-04-10 18:28:02,10.10.0.2,10.10.0.17,TCP,445,ALLOW,83362
F000158,2026-02-19 17:55:52,10.10.0.172,10.10.0.101,UDP,80,ALLOW,21201
F000159,2026-05-22 12:36:03,10.10.0.177,185.10.0.114,UDP,445,ALLOW,29722
F000160,2026-01-24 22:00:40,10.10.0.4,10.10.0.137,TCP,80,ALLOW,8988
F000161,2026-06-08 01:47:39,10.10.0.38,10.10.0.9,UDP,22,DENY,5711
F000162,2026-03-12 17:37:32,10.10.0.141,10.10.0.194,TCP,80,ALLOW,40621
F000163,2026-02-13 08:10:54,10.10.0.68,185.10.0.89,TCP,8443,DENY,3064
F000164,2026-04-30 12:24:12,10.10.0.60,10.10.0.154,TCP,80,ALLOW,54737
F000165,2026-01-13 08:24:51,10.10.0.74,185.10.0.26,UDP,445,ALLOW,18126
F000166,2026-04-02 00:21:14,10.10.0.82,185.10.0.51,TCP,443,ALLOW,545483
F000167,2026-05-17 06:28:53,10.10.0.83,10.10.0.45,TCP,445,ALLOW,37426
F000168,2026-03-06 17:37:03,10.10.0.109,10.10.0.37,TCP,8443,ALLOW,72389
F000169,2026-06-17 21:03:13,10.10.0.24,10.10.0.92,TCP,445,ALLOW,16434
F000170,2026-01-30 01:21:10,10.10.0.31,185.10.0.99,TCP,8443,ALLOW,144851
F000171,2026-02-19 01:36:47,10.10.0.123,185.10.0.6,UDP,53,ALLOW,161279
F000172,2026-02-23 04:21:39,10.10.0.14,10.10.0.118,TCP,3389,DENY,115598
F000173,2026-05-18 10:29:47,10.10.0.11,10.10.0.22,UDP,3389,ALLOW,400194
F000174,2026-04-12 02:41:46,10.10.0.71,10.10.0.65,TCP,8443,ALLOW,10247
F000175,2026-04-06 00:38:40,10.10.0.55,10.10.0.140,UDP,22,ALLOW,79509
F000176,2026-04-20 16:54:43,10.10.0.127,10.10.0.170,TCP,445,ALLOW,14687
F000177,2026-02-14 02:43:23,10.10.0.200,10.10.0.95,TCP,8080,ALLOW,10733
F000178,2026-05-20 12:00:13,10.10.0.183,10.10.0.4,UDP,53,ALLOW,35027
F000179,2026-06-30 06:12:47,10.10.0.16,185.10.0.84,TCP,3306,ALLOW,48526
F000180,2026-01-26 12:48:03,10.10.0.159,185.10.0.60,TCP,443,ALLOW,32181
F000181,2026-04-25 15:45:29,10.10.0.40,10.10.0.76,TCP,53,ALLOW,7884
F000182,2026-02-10 04:07:16,10.10.0.120,10.10.0.17,UDP,445,DENY,39380
F000183,2026-06-03 00:25:41,10.10.0.181,10.10.0.23,UDP,443,ALLOW,35647
F000184,2026-01-04 02:54:42,10.10.0.129,10.10.0.86,UDP,3306,DENY,11194
F000185,2026-02-07 15:26:11,10.10.0.10,185.10.0.12,UDP,80,DENY,208084
F000186,2026-02-06 10:53:29,10.10.0.199,10.10.0.142,TCP,3389,ALLOW,346942
F000187,2026-01-27 20:09:33,10.10.0.148,10.10.0.191,UDP,53,ALLOW,42499
F000188,2026-05-11 20:47:06,10.10.0.177,10.10.0.76,UDP,1433,DENY,116197
F000189,2026-03-06 16:37:06,10.10.0.140,10.10.0.198,TCP,8443,DENY,1935
F000190,2026-01-24 04:44:32,10.10.0.99,10.10.0.22,UDP,80,ALLOW,36147
F000191,2026-04-10 15:15:23,10.10.0.110,10.10.0.102,UDP,445,ALLOW,134746
F000192,2026-06-08 07:00:50,10.10.0.109,10.10.0.187,TCP,8080,ALLOW,37154
F000193,2026-01-26 21:13:12,10.10.0.137,10.10.0.30,UDP,8080,ALLOW,31852
F000194,2026-06-30 13:41:32,10.10.0.83,10.10.0.82,TCP,53,ALLOW,81367
F000195,2026-01-07 21:57:28,10.10.0.180,185.10.0.107,TCP,3389,ALLOW,556314
F000196,2026-01-16 08:33:26,10.10.0.103,10.10.0.58,UDP,3389,ALLOW,54296
F000197,2026-06-07 03:38:34,10.10.0.102,185.10.0.43,UDP,1433,ALLOW,43035
F000198,2026-04-30 02:32:01,10.10.0.115,10.10.0.55,UDP,443,ALLOW,179591
F000199,2026-01-15 02:37:08,10.10.0.31,10.10.0.68,TCP,3306,ALLOW,63069
F000200,2026-05-03 16:49:17,10.10.0.139,185.10.0.68,TCP,53,ALLOW,287892
F000201,2026-02-22 10:25:00,10.10.0.45,10.10.0.110,UDP,1433,ALLOW,10955
F000202,2026-05-02 16:25:13,10.10.0.48,10.10.0.131,UDP,8443,ALLOW,11118
F000203,2026-03-04 01:06:23,10.10.0.178,10.10.0.185,UDP,445,ALLOW,13620
F000204,2026-01-09 08:44:49,10.10.0.130,10.10.0.167,UDP,3389,ALLOW,105715
F000205,2026-04-16 00:00:20,10.10.0.134,10.10.0.173,TCP,3306,ALLOW,54673
F000206,2026-03-17 03:29:43,10.10.0.148,10.10.0.27,TCP,445,ALLOW,26841
F000207,2026-04-23 12:46:50,10.10.0.142,185.10.0.45,UDP,1433,ALLOW,55155
F000208,2026-05-01 16:43:50,10.10.0.165,185.10.0.80,UDP,445,ALLOW,128097
F000209,2026-06-14 01:20:08,10.10.0.2,185.10.0.4,TCP,22,ALLOW,25241
F000210,2026-06-03 02:08:26,10.10.0.101,185.10.0.98,UDP,22,DENY,89998
F000211,2026-04-26 18:09:32,10.10.0.80,10.10.0.26,TCP,3389,ALLOW,21911
F000212,2026-01-21 10:40:42,10.10.0.146,185.10.0.71,TCP,3306,ALLOW,6020
F000213,2026-02-06 09:00:08,10.10.0.2,185.10.0.56,UDP,8443,ALLOW,37198
F000214,2026-02-07 16:04:52,10.10.0.15,185.10.0.74,TCP,1433,DENY,5287
F000215,2026-03-06 00:35:53,10.10.0.60,10.10.0.12,TCP,80,ALLOW,24800
F000216,2026-02-10 03:41:00,10.10.0.53,10.10.0.200,UDP,8443,ALLOW,43557
F000217,2026-01-12 18:27:48,10.10.0.90,10.10.0.74,UDP,3306,ALLOW,13743
F000218,2026-04-23 06:56:11,10.10.0.36,10.10.0.182,UDP,443,ALLOW,73133
F000219,2026-01-20 15:17:10,10.10.0.182,10.10.0.75,TCP,8443,ALLOW,27612
F000220,2026-06-02 21:38:01,10.10.0.59,10.10.0.75,TCP,3389,DENY,76040
F000221,2026-06-28 21:17:27,10.10.0.65,10.10.0.73,UDP,3389,DENY,35698
F000222,2026-05-30 14:49:52,10.10.0.167,10.10.0.10,TCP,445,ALLOW,28687
F000223,2026-03-24 00:41:52,10.10.0.46,185.10.0.50,TCP,445,DENY,13857
F000224,2026-01-27 15:05:06,10.10.0.26,10.10.0.67,TCP,53,ALLOW,37862
F000225,2026-05-25 13:13:17,10.10.0.197,10.10.0.168,UDP,445,ALLOW,43975
F000226,2026-03-02 04:52:58,10.10.0.167,185.10.0.65,TCP,3389,DENY,56205
F000227,2026-01-29 07:05:40,10.10.0.175,10.10.0.154,TCP,8080,ALLOW,49849
F000228,2026-01-04 13:16:06,10.10.0.175,10.10.0.38,TCP,8080,ALLOW,7780
F000229,2026-06-20 21:33:55,10.10.0.2,185.10.0.55,TCP,53,ALLOW,120836
F000230,2026-06-22 19:48:39,10.10.0.125,185.10.0.50,UDP,3306,ALLOW,58723
F000231,2026-02-14 22:45:04,10.10.0.5,185.10.0.119,TCP,3389,ALLOW,39063
F000232,2026-05-18 00:08:12,10.10.0.79,185.10.0.3,UDP,22,DENY,55484
F000233,2026-02-06 22:51:27,10.10.0.128,10.10.0.90,UDP,22,DENY,69456
F000234,2026-01-08 17:07:47,10.10.0.64,10.10.0.93,TCP,445,ALLOW,370842
F000235,2026-02-25 02:31:14,10.10.0.79,10.10.0.12,TCP,53,ALLOW,18854
F000236,2026-01-15 15:01:01,10.10.0.115,185.10.0.86,UDP,3389,ALLOW,19448
F000237,2026-05-18 10:09:15,10.10.0.165,10.10.0.107,TCP,445,ALLOW,10282
F000238,2026-03-19 15:49:34,10.10.0.19,10.10.0.142,UDP,3389,ALLOW,3935
F000239,2026-06-10 00:55:20,10.10.0.10,10.10.0.45,TCP,80,ALLOW,60596
F000240,2026-02-18 18:57:55,10.10.0.63,10.10.0.44,UDP,80,ALLOW,394497
F000241,2026-04-15 02:36:32,10.10.0.110,185.10.0.21,UDP,8443,ALLOW,26197
F000242,2026-03-09 00:54:50,10.10.0.100,10.10.0.152,TCP,8080,ALLOW,159533
F000243,2026-03-16 07:58:54,10.10.0.63,10.10.0.107,TCP,80,DENY,26686
F000244,2026-04-21 09:54:24,10.10.0.74,185.10.0.69,UDP,53,ALLOW,149337
F000245,2026-04-09 12:40:52,10.10.0.92,10.10.0.99,TCP,53,ALLOW,54935
F000246,2026-05-14 13:21:48,10.10.0.136,185.10.0.43,TCP,22,ALLOW,38255
F000247,2026-05-27 20:02:10,10.10.0.79,10.10.0.196,UDP,53,DENY,19121
F000248,2026-06-21 09:59:01,10.10.0.16,10.10.0.85,TCP,8443,ALLOW,40579
F000249,2026-06-22 19:44:26,10.10.0.161,10.10.0.68,UDP,445,ALLOW,102937
F000250,2026-03-31 15:01:26,10.10.0.139,10.10.0.120,UDP,53,ALLOW,16515
F000251,2026-05-14 22:47:30,10.10.0.101,10.10.0.145,UDP,80,ALLOW,33670
F000252,2026-05-30 20:06:25,10.10.0.9,185.10.0.62,TCP,1433,ALLOW,47054
F000253,2026-02-16 04:01:02,10.10.0.38,10.10.0.137,UDP,443,ALLOW,98503
F000254,2026-06-11 23:54:39,10.10.0.148,185.10.0.23,UDP,445,ALLOW,42003
F000255,2026-05-12 14:54:19,10.10.0.127,10.10.0.111,TCP,80,ALLOW,26979
F000256,2026-04-06 13:14:19,10.10.0.42,10.10.0.132,TCP,3306,ALLOW,50901
F000257,2026-04-28 08:57:12,10.10.0.44,10.10.0.46,TCP,443,DENY,144540
F000258,2026-01-27 20:14:11,10.10.0.80,10.10.0.4,TCP,8080,ALLOW,62722
F000259,2026-04-11 09:28:51,10.10.0.105,185.10.0.116,UDP,445,DENY,34700
F000260,2026-01-04 21:38:10,10.10.0.93,185.10.0.4,TCP,3306,ALLOW,39696
F000261,2026-06-26 23:40:45,10.10.0.116,10.10.0.131,TCP,3389,ALLOW,10927
F000262,2026-06-29 10:00:53,10.10.0.95,185.10.0.10,UDP,3306,ALLOW,88314
F000263,2026-05-10 09:04:48,10.10.0.136,10.10.0.87,TCP,8080,ALLOW,8012
F000264,2026-06-26 00:21:52,10.10.0.111,185.10.0.100,TCP,53,ALLOW,22357
F000265,2026-02-23 16:41:50,10.10.0.58,185.10.0.69,TCP,53,ALLOW,30142
F000266,2026-05-29 12:28:56,10.10.0.88,185.10.0.88,TCP,22,ALLOW,22303
F000267,2026-03-04 03:30:40,10.10.0.102,10.10.0.88,UDP,53,ALLOW,11491
F000268,2026-02-22 11:02:50,10.10.0.123,185.10.0.25,UDP,22,ALLOW,16917
F000269,2026-05-23 06:21:27,10.10.0.78,10.10.0.31,TCP,445,ALLOW,7531
F000270,2026-02-21 17:16:16,10.10.0.29,10.10.0.149,UDP,80,DENY,238565
F000271,2026-03-03 04:28:41,10.10.0.98,10.10.0.81,TCP,8080,DENY,19690
F000272,2026-06-19 02:30:05,10.10.0.103,10.10.0.30,UDP,445,ALLOW,17655
F000273,2026-02-27 15:37:56,10.10.0.65,10.10.0.15,UDP,22,ALLOW,391546
F000274,2026-02-01 02:35:53,10.10.0.80,185.10.0.39,UDP,8080,ALLOW,5723
F000275,2026-05-14 21:23:15,10.10.0.4,10.10.0.184,TCP,443,ALLOW,71912
F000276,2026-06-13 04:28:12,10.10.0.57,185.10.0.117,TCP,8443,ALLOW,38684
F000277,2026-03-31 18:02:05,10.10.0.74,185.10.0.46,UDP,8080,ALLOW,11686
F000278,2026-06-04 00:43:17,10.10.0.186,185.10.0.110,UDP,443,ALLOW,42139
F000279,2026-04-02 17:33:59,10.10.0.188,185.10.0.48,UDP,80,ALLOW,299444
F000280,2026-05-30 21:05:04,10.10.0.192,10.10.0.92,TCP,445,ALLOW,71169
F000281,2026-04-04 17:27:53,10.10.0.132,10.10.0.161,TCP,53,ALLOW,60287
F000282,2026-06-14 09:14:33,10.10.0.139,185.10.0.53,TCP,8080,ALLOW,8790
F000283,2026-01-26 22:44:40,10.10.0.195,185.10.0.60,UDP,80,ALLOW,13963
F000284,2026-01-21 12:10:47,10.10.0.42,10.10.0.145,UDP,3306,ALLOW,6200
F000285,2026-03-29 01:12:10,10.10.0.157,185.10.0.92,UDP,3306,ALLOW,40254
F000286,2026-05-08 21:51:53,10.10.0.131,10.10.0.39,UDP,3306,ALLOW,38274
F000287,2026-05-15 13:43:43,10.10.0.11,185.10.0.10,TCP,1433,ALLOW,14059
F000288,2026-02-04 11:14:51,10.10.0.119,10.10.0.179,TCP,8080,ALLOW,103577
F000289,2026-05-21 11:05:09,10.10.0.4,10.10.0.152,UDP,22,ALLOW,8166
