event_id,timestamp,user,host,command_line,detection_rule,severity
E002625,2026-02-27 07:22:19,n.gupta,WIN-023,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E002657,2026-02-09 04:59:02,k.mehta,WIN-002,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E002736,2026-02-20 15:23:20,d.patel,WIN-004,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E002745,2026-05-25 19:51:33,svc_backup,WIN-005,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E002754,2026-01-11 02:40:24,admin.ops,WIN-014,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E002767,2026-05-05 20:29:27,svc_app,WIN-034,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E002776,2026-05-11 04:36:18,j.smith,WIN-022,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E002777,2026-03-07 00:18:03,m.sharma,WIN-004,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E002791,2026-06-22 07:21:09,admin.ops,WIN-015,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E002838,2026-05-23 03:48:57,j.smith,WIN-008,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E002866,2026-05-18 11:30:51,svc_backup,WIN-025,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E002885,2026-05-05 09:32:47,n.gupta,WIN-033,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E002989,2026-05-12 14:47:34,s.rao,WIN-006,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E003039,2026-01-08 03:02:23,svc_app,WIN-032,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E003093,2026-06-30 15:57:39,k.mehta,WIN-023,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E003094,2026-05-02 08:41:53,m.sharma,WIN-036,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E003123,2026-06-24 13:18:12,n.gupta,WIN-037,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E003134,2026-05-12 03:56:05,j.smith,WIN-010,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E003159,2026-05-28 18:53:17,svc_app,WIN-019,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E003165,2026-06-26 01:22:23,s.rao,WIN-040,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E003168,2026-03-23 23:56:12,r.verma,WIN-028,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E003181,2026-05-02 17:22:29,n.gupta,WIN-019,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E003192,2026-05-24 23:08:56,j.smith,WIN-019,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E003209,2026-02-05 18:17:10,p.singh,WIN-035,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E003235,2026-01-05 20:02:20,m.sharma,WIN-012,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E003239,2026-04-07 14:33:01,s.rao,WIN-023,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E003331,2026-06-11 07:39:55,k.mehta,WIN-038,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E003339,2026-01-08 12:40:09,r.verma,WIN-003,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E003415,2026-02-18 04:16:46,svc_app,WIN-033,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E003426,2026-03-25 03:29:53,a.kumar,WIN-014,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E003444,2026-01-19 09:00:52,k.mehta,WIN-023,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E003457,2026-01-13 18:51:51,a.kumar,WIN-033,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E003461,2026-03-14 12:52:42,j.smith,WIN-012,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E003511,2026-05-31 03:07:28,j.smith,WIN-024,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E003519,2026-02-08 23:09:20,admin.ops,WIN-035,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E003528,2026-02-23 20:49:01,k.mehta,WIN-033,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E003557,2026-03-28 23:17:06,m.sharma,WIN-009,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E003571,2026-01-08 12:21:59,m.sharma,WIN-012,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E003579,2026-05-24 05:45:31,admin.ops,WIN-012,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E003598,2026-06-18 02:07:01,admin.ops,WIN-013,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E003618,2026-01-02 19:03:20,svc_backup,WIN-040,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E003619,2026-02-20 14:00:07,admin.ops,WIN-037,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E003674,2026-06-03 23:10:57,r.verma,WIN-003,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E003760,2026-02-20 07:35:12,r.verma,WIN-032,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E003765,2026-05-19 07:56:37,m.sharma,WIN-019,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E003780,2026-02-19 15:59:11,s.rao,WIN-011,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E003798,2026-02-15 14:37:08,s.rao,WIN-001,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E003853,2026-05-23 00:55:25,r.verma,WIN-034,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E003862,2026-01-03 19:19:39,admin.ops,WIN-005,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E003873,2026-04-08 10:18:28,admin.ops,WIN-004,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E003879,2026-02-07 02:15:30,svc_backup,WIN-008,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E003890,2026-03-02 08:36:17,k.mehta,WIN-021,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E003911,2026-03-07 11:04:33,r.verma,WIN-038,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E003919,2026-04-05 06:38:58,svc_app,WIN-030,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E003928,2026-05-06 15:14:19,p.singh,WIN-014,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E003930,2026-04-02 18:36:16,p.singh,WIN-039,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E004070,2026-03-22 03:08:25,r.verma,WIN-031,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E004103,2026-03-10 11:59:14,n.gupta,WIN-006,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E004109,2026-03-31 21:48:48,p.singh,WIN-014,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E004138,2026-03-10 19:21:23,d.patel,WIN-004,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E004141,2026-02-08 19:59:49,d.patel,WIN-011,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E004173,2026-06-20 22:23:36,svc_app,WIN-032,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E004177,2026-03-15 17:16:25,j.smith,WIN-022,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E004196,2026-01-29 00:33:29,admin.ops,WIN-013,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E004205,2026-04-11 13:23:47,svc_app,WIN-008,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E004289,2026-01-28 12:52:10,r.verma,WIN-018,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E004304,2026-03-18 14:10:41,d.patel,WIN-021,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E004354,2026-02-09 05:28:39,k.mehta,WIN-029,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E004372,2026-03-08 14:47:36,s.rao,WIN-039,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E004384,2026-05-08 16:23:36,a.kumar,WIN-007,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E004386,2026-05-04 13:33:15,svc_app,WIN-020,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E004395,2026-03-22 13:21:59,k.mehta,WIN-014,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E004402,2026-01-08 07:23:51,m.sharma,WIN-024,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E004503,2026-01-04 16:42:23,a.kumar,WIN-014,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E004606,2026-02-02 11:33:13,n.gupta,WIN-001,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E004657,2026-03-07 09:24:14,k.mehta,WIN-004,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E004666,2026-01-12 22:06:14,d.patel,WIN-002,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E004672,2026-05-03 17:58:28,m.sharma,WIN-020,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E004856,2026-05-27 06:50:24,n.gupta,WIN-029,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E004982,2026-02-25 18:51:32,m.sharma,WIN-006,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E005004,2026-05-28 11:10:18,a.kumar,WIN-008,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E005334,2026-01-05 13:50:32,p.singh,WIN-010,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E005339,2026-05-17 07:18:50,k.mehta,WIN-018,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E005351,2026-04-10 01:46:54,s.rao,WIN-035,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E005383,2026-03-16 08:39:56,s.rao,WIN-033,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E005436,2026-06-08 20:25:24,admin.ops,WIN-016,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E005438,2026-05-19 15:36:24,p.singh,WIN-018,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E005447,2026-06-18 09:23:09,p.singh,WIN-021,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E005503,2026-02-24 17:10:28,m.sharma,WIN-019,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E005513,2026-02-13 16:04:53,p.singh,WIN-024,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E005612,2026-02-07 16:15:35,a.kumar,WIN-016,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E005662,2026-02-02 09:39:10,svc_app,WIN-003,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E005698,2026-05-08 21:27:31,p.singh,WIN-031,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E005701,2026-04-17 07:16:07,admin.ops,WIN-030,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E005711,2026-06-09 08:18:42,a.kumar,WIN-030,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E005716,2026-06-12 11:15:39,svc_app,WIN-011,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E005733,2026-06-06 13:42:45,r.verma,WIN-010,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E005752,2026-02-02 14:44:35,svc_backup,WIN-011,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E005753,2026-04-07 04:40:14,p.singh,WIN-018,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E005799,2026-03-10 09:28:19,r.verma,WIN-014,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E005817,2026-05-10 17:22:27,admin.ops,WIN-022,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E005820,2026-02-19 12:05:42,r.verma,WIN-034,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E005828,2026-04-08 04:55:22,svc_backup,WIN-018,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E005831,2026-01-13 12:56:25,m.sharma,WIN-037,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E005865,2026-01-26 22:46:20,svc_app,WIN-019,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E005867,2026-04-20 02:17:10,n.gupta,WIN-039,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E005912,2026-06-28 20:39:48,admin.ops,WIN-021,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E005932,2026-05-16 02:50:51,p.singh,WIN-007,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E005943,2026-02-13 00:07:01,k.mehta,WIN-016,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E005969,2026-01-21 15:42:59,a.kumar,WIN-022,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E005983,2026-06-20 00:31:14,m.sharma,WIN-022,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E006051,2026-02-22 20:50:37,n.gupta,WIN-032,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E006146,2026-05-26 21:58:45,s.rao,WIN-022,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E006162,2026-04-16 02:33:05,s.rao,WIN-020,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E006177,2026-02-10 09:09:50,k.mehta,WIN-039,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E006189,2026-01-03 20:53:49,m.sharma,WIN-039,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E006203,2026-04-11 12:35:17,svc_app,WIN-025,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
E006250,2026-04-25 20:06:40,a.kumar,WIN-026,powershell.exe -EncodedCommand NORMAL_SAMPLE,Suspicious PowerShell,High
